date,volume,open,high,low,close
2018/10/25,"75,524,118",220.5,222.0,219.5,219.5
2018/10/26,"54,073,644",223.0,224.0,217.0,221.0
2018/10/29,"18,463,792",223.0,224.0,221.0,222.5
2018/10/30,"29,085,931",221.0,225.0,220.5,223.0
2018/10/31,"59,933,201",228.0,234.0,228.0,234.0
2018/11/02,"30,785,361",236.5,236.5,233.5,236.5
2018/11/05,"28,157,065",233.0,235.5,232.0,235.0
2018/11/06,"35,501,176",234.0,235.5,232.5,234.5
2018/11/07,"39,842,652",233.0,236.0,232.5,234.0
2018/11/08,"28,086,146",237.5,237.5,236.0,236.5
2018/11/09,"23,792,081",234.5,234.5,231.0,231.0
2018/11/12,"26,202,445",230.0,234.5,230.0,231.5
2018/11/13,"37,565,127",224.5,228.0,224.5,227.5
2018/11/14,"24,565,279",230.0,231.0,228.5,228.5
2018/11/15,"22,230,228",229.5,232.0,228.5,231.0
2018/11/16,"47,138,909",229.0,229.0,225.0,226.0
2018/11/19,"51,034,754",225.0,225.0,221.0,222.0
2018/11/20,"45,686,756",219.0,220.5,218.0,218.0
2018/11/21,"38,478,343",214.5,220.0,214.0,219.0
2018/11/22,"22,060,610",221.5,222.0,219.0,219.0
2018/11/23,"15,553,334",220.5,220.5,217.0,218.5
2018/11/26,"35,267,804",219.0,224.0,218.5,223.0
2018/11/27,"32,676,349",220.0,224.5,219.0,224.0
2018/11/28,"24,759,026",222.5,227.0,222.0,226.5
2018/11/29,"46,206,207",231.5,231.5,229.0,229.0
2018/11/30,"57,352,957",229.5,231.0,225.5,225.5
2018/12/04,"41,947,162",233.0,234.5,231.0,234.0
2018/12/05,"45,634,576",226.5,227.5,225.0,226.0
2018/12/06,"40,181,112",220.0,222.0,219.5,220.0
2018/12/07,"31,997,568",222.5,223.5,220.5,221.0
2018/12/10,"26,229,461",219.5,220.0,218.5,219.0
2018/12/11,"27,395,220",220.0,223.0,219.0,222.5
2018/12/12,"32,926,379",223.5,227.0,222.5,226.5
2018/12/13,"32,433,141",227.0,227.5,225.0,226.0
2018/12/14,"43,226,159",223.0,223.5,220.5,222.5
2018/12/17,"18,964,952",221.0,225.0,220.0,223.5
2018/12/18,"30,270,541",221.0,223.0,220.5,222.5
2018/12/19,"23,415,082",222.0,225.5,222.0,225.5
2018/12/20,"38,697,116",221.0,222.5,221.0,221.0
2018/12/21,"46,947,532",219.0,224.0,219.0,223.5
2018/12/22,"5,185,247",220.0,221.5,220.0,221.5
2018/12/24,"23,376,100",221.5,221.5,219.5,220.0
2018/12/25,"19,402,777",215.5,218.0,215.0,217.5
2018/12/26,"16,893,259",218.5,219.5,216.0,216.5
2018/12/27,"21,915,484",222.0,224.0,220.5,223.0
